"Job #","Borough","House #","Street Name","Block","Lot","Bin #","Job Type","Community - Board","Curb Cut","Fully Permitted","Initial Cost","Proposed Zoning Sqft","Horizontal Enlrgmt","Vertical Enlrgmt","Enlargement SQ Footage","Zoning Dist1","Job Description"
"200650580","BRONX","1454","SHAKESPEARE AVENUE","02872","00111","2114226","A2","204",,"09/11/2002","$56000.00","0",,,"0","R7-1","INSTALLATION OF AUTOMATIC SPRINKLER SYST EM IN CONJUNCTION WITH CONSTRUC ION OF NEW 6-STORY J-2 APARTMENT BUILDIN G (FULLY SPRINKLERED UNDER THIS APPLICA ION.)"
"200659867","BRONX","1175","ANDERSON AVENUE","02510","00050","2003171","A2","204",,"02/14/2003","$50000.00","0",,,"0","R7-1","COMBINING OF APARTMENTS 1A &amp; 1B, 2A &amp; 2B , 3A &amp; 3B, 4A &amp; 4B, 5A &amp; 5B, 6A &amp; 6B AS PER TPPN #3/97. NO CHANGE TO USE , EGRESS , OCCUPANCY OR ZONING."
"200659867","BRONX","1175","ANDERSON AVENUE","02510","00050","2003171","A2","204",,"02/14/2003","$50000.00","0",,,"0","R7-1","COMBINING OF APARTMENTS 1A &amp; 1B, 2A &amp; 2B , 3A &amp; 3B, 4A &amp; 4B, 5A &amp; 5B, 6A &amp; 6B AS PER TPPN #3/97. NO CHANGE TO USE , EGRESS , OCCUPANCY OR ZONING."
"200659867","BRONX","1175","ANDERSON AVENUE","02510","00050","2003171","A2","204",,"02/14/2003","$50000.00","0",,,"0","R7-1","COMBINING OF APARTMENTS 1A &amp; 1B, 2A &amp; 2B , 3A &amp; 3B, 4A &amp; 4B, 5A &amp; 5B, 6A &amp; 6B AS PER TPPN #3/97. NO CHANGE TO USE , EGRESS , OCCUPANCY OR ZONING."
"200660944","BRONX","2030","VALENTINE AVENUE","03142","00009","2013285","A2","205",,"08/28/2001","$40000.00","0",,,"0",,"REFURBISHING WORK IN EXISTING APARTMENT S G &amp; H. LAMINATE AND REBUILT PA RTITIONS,CEILING,REPLACE FLOOR JOIST AND  NEW WOOD FLOOR.REPLACEMENT OF EXISTING PLUMBING FIXTURES,STORM DRAIN AND GAS EQ UIPMENT.HEREWITH APPLICATION SUBMITTED O BE CORRECTED VECB #122100C05BL01 &amp; 122 100P5SF1.THERE WILL BE NO CHANGE IN USE"
"200660944","BRONX","2030","VALENTINE AVENUE","03142","00009","2013285","A2","205",,"08/28/2001","$40000.00","0",,,"0",,"REFURBISHING WORK IN EXISTING APARTMENT S G &amp; H. LAMINATE AND REBUILT PA RTITIONS,CEILING,REPLACE FLOOR JOIST AND  NEW WOOD FLOOR.REPLACEMENT OF EXISTING PLUMBING FIXTURES,STORM DRAIN AND GAS EQ UIPMENT.HEREWITH APPLICATION SUBMITTED O BE CORRECTED VECB #122100C05BL01 &amp; 122 100P5SF1.THERE WILL BE NO CHANGE IN USE"
"200660944","BRONX","2030","VALENTINE AVENUE","03142","00009","2013285","A2","205",,"08/28/2001","$40000.00","0",,,"0",,"REFURBISHING WORK IN EXISTING APARTMENT S G &amp; H. LAMINATE AND REBUILT PA RTITIONS,CEILING,REPLACE FLOOR JOIST AND  NEW WOOD FLOOR.REPLACEMENT OF EXISTING PLUMBING FIXTURES,STORM DRAIN AND GAS EQ UIPMENT.HEREWITH APPLICATION SUBMITTED O BE CORRECTED VECB #122100C05BL01 &amp; 122 100P5SF1.THERE WILL BE NO CHANGE IN USE"
"200670194","BRONX","115","EAST  168 STREET","02466","00048","2002865","A1","204",,,"$40000.00","0",,,"0","R8","CONVERTING 1ST FLOOR APARTMENT,CELLAR AR  EA INTO ISLAMIC MASJID (CHURCH AFTER REMOVING NON BEARING PARTITIONS IN   1ST FLOOR &amp; CELLAR."
"200670194","BRONX","115","EAST  168 STREET","02466","00048","2002865","A1","204",,,"$40000.00","0",,,"0","R8","CONVERTING 1ST FLOOR APARTMENT,CELLAR AR  EA INTO ISLAMIC MASJID (CHURCH AFTER REMOVING NON BEARING PARTITIONS IN   1ST FLOOR &amp; CELLAR."
"200670194","BRONX","115","EAST  168 STREET","02466","00048","2002865","A1","204",,,"$40000.00","0",,,"0","R8","CONVERTING 1ST FLOOR APARTMENT,CELLAR AR  EA INTO ISLAMIC MASJID (CHURCH AFTER REMOVING NON BEARING PARTITIONS IN   1ST FLOOR &amp; CELLAR."
"200680352","BRONX","1976","BATHGATE AVENUE","03044","00056","2011452","A1","206",,"09/27/2001","$85000.00","0",,,"0","R7-1","Convert from one class 'A' apartment and seven furnished rooms (SRO) to three class 'A' apartments; remove various non-bearing partitions; erect vbarious non-bearing partitions; relocate boiler room at basement; new finishes; remove existing sprinkler system"
"200680352","BRONX","1976","BATHGATE AVENUE","03044","00056","2011452","A1","206",,"09/27/2001","$85000.00","0",,,"0","R7-1","Convert from one class 'A' apartment and seven furnished rooms (SRO) to three class 'A' apartments; remove various non-bearing partitions; erect vbarious non-bearing partitions; relocate boiler room at basement; new finishes; remove existing sprinkler system"
"200682635","BRONX","1451","WASHINGTON AVENUE","02902","00036","2092075","A2","203",,"03/22/2002","$60000.00","0",,,"0","R7-1","Enlarge Apt entry door, kitchen doorway, bathroom door, Bedroom Door to 36 ' for Handicap accessibility. Replace tub, lav, water closet, kitchen sink, lead bend,waste and water branches. Replace floor bathroom tiles and paint apartment throughout."
"200682635","BRONX","1451","WASHINGTON AVENUE","02902","00036","2092075","A2","203",,"03/22/2002","$60000.00","0",,,"0","R7-1","Enlarge Apt entry door, kitchen doorway, bathroom door, Bedroom Door to 36 ' for Handicap accessibility. Replace tub, lav, water closet, kitchen sink, lead bend,waste and water branches. Replace floor bathroom tiles and paint apartment throughout."
"200682635","BRONX","1451","WASHINGTON AVENUE","02902","00036","2092075","A2","203",,"03/22/2002","$60000.00","0",,,"0","R7-1","Enlarge Apt entry door, kitchen doorway, bathroom door, Bedroom Door to 36 ' for Handicap accessibility. Replace tub, lav, water closet, kitchen sink, lead bend,waste and water branches. Replace floor bathroom tiles and paint apartment throughout."
"200682644","BRONX","1420","WASHINGTON AVENUE","02911","00001","2092109","A2","203",,"05/07/2003","$75000.00","0",,,"0","R7-1","Enlarge Apt entry door, kitchen doorway, bathroom door, Bedroom Door to 36 ' for Handicap accessibility. Replace tub, lav, water closet, kitchen sink, lead bend,waste and water branches. Replace floor bathroom tiles and paint apartment throughout."
"200682644","BRONX","1420","WASHINGTON AVENUE","02911","00001","2092109","A2","203",,"05/07/2003","$75000.00","0",,,"0","R7-1","Enlarge Apt entry door, kitchen doorway, bathroom door, Bedroom Door to 36 ' for Handicap accessibility. Replace tub, lav, water closet, kitchen sink, lead bend,waste and water branches. Replace floor bathroom tiles and paint apartment throughout."
"200682662","BRONX","3603","THIRD AVENUE","02910","00001","2092082","A2","203",,"03/22/2002","$75000.00","0",,,"0","R7-1","Enlarge Apt entry door, kitchen doorway, bathroom door, Bedroom Door to 36 ' for Handicap accessibility. Replace tub, lav, water closet, kitchen sink, lead bend,waste and water branches. Replace floor bathroom tiles and paint apartment throughout."
"200683019","BRONX","3555","BIVONA STREET","05263","00040","2093875","A2","212",,"05/07/2003","$45000.00","0",,,"0","R4","Enlarge Apt entry door, kitchen doorway, bathroom door, Bedroom Door to 36 ' for Handicap accessibility. Replace tub, lav, water closet, kitchen sink, lead bend,waste and water branches. Replace floor bathroom tiles and paint apartment throughout."
"200683019","BRONX","3555","BIVONA STREET","05263","00040","2093875","A2","212",,"05/07/2003","$45000.00","0",,,"0","R4","Enlarge Apt entry door, kitchen doorway, bathroom door, Bedroom Door to 36 ' for Handicap accessibility. Replace tub, lav, water closet, kitchen sink, lead bend,waste and water branches. Replace floor bathroom tiles and paint apartment throughout."
"200683046","BRONX","3550","BIVONA STREET","05263","00070","2093879","A2","212",,"05/07/2003","$45000.00","0",,,"0","R4","Enlarge Apt entry door, kitchen doorway, bathroom door, Bedroom Door to 36 ' for Handicap accessibility. Replace tub, lav, water closet, kitchen sink, lead bend,waste and water branches. Replace floor bathroom tiles and paint apartment throughout."
"200683046","BRONX","3550","BIVONA STREET","05263","00070","2093879","A2","212",,"05/07/2003","$45000.00","0",,,"0","R4","Enlarge Apt entry door, kitchen doorway, bathroom door, Bedroom Door to 36 ' for Handicap accessibility. Replace tub, lav, water closet, kitchen sink, lead bend,waste and water branches. Replace floor bathroom tiles and paint apartment throughout."
